"report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
2022-03-05,"AL",33,"Alabama",35,2022-09-12,0.0606060606060606,2,"A) 2021-2022"
2022-03-05,"AK",0,"Alaska",0,2022-09-12,NA,0,"A) 2021-2022"
2022-03-05,"AZ",94,"Arizona",91,2022-09-12,-0.0319148936170213,-3,"A) 2021-2022"
2022-03-05,"AR",63,"Arkansas",58,2022-09-12,-0.0793650793650794,-5,"A) 2021-2022"
2022-03-05,"CA",32,"California",32,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"CO",22,"Colorado",25,2022-09-12,0.136363636363636,3,"A) 2021-2022"
2022-03-05,"CT",4,"Connecticut",7,2022-09-12,0.75,3,"A) 2021-2022"
2022-03-05,"DE",1,"Delaware",1,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"DC",1,"District of Columbia",1,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"FL",71,"Florida",72,2022-09-12,0.0140845070422535,1,"A) 2021-2022"
2022-03-05,"GA",31,"Georgia",28,2022-09-12,-0.0967741935483871,-3,"A) 2021-2022"
2022-03-05,"HI",0,"Hawaii",0,2022-09-12,NA,0,"A) 2021-2022"
2022-03-05,"ID",1,"Idaho",3,2022-09-12,2,2,"A) 2021-2022"
2022-03-05,"IL",16,"Illinois",21,2022-09-12,0.3125,5,"A) 2021-2022"
2022-03-05,"IN",68,"Indiana",72,2022-09-12,0.0588235294117647,4,"A) 2021-2022"
2022-03-05,"IA",61,"Iowa",57,2022-09-12,-0.0655737704918033,-4,"A) 2021-2022"
2022-03-05,"KS",29,"Kansas",32,2022-09-12,0.103448275862069,3,"A) 2021-2022"
2022-03-05,"KY",16,"Kentucky",20,2022-09-12,0.25,4,"A) 2021-2022"
2022-03-05,"LA",31,"Louisiana",31,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"ME",2,"Maine",3,2022-09-12,0.5,1,"A) 2021-2022"
2022-03-05,"MD",28,"Maryland",21,2022-09-12,-0.25,-7,"A) 2021-2022"
2022-03-05,"MA",21,"Massachusetts",14,2022-09-12,-0.333333333333333,-7,"A) 2021-2022"
2022-03-05,"MI",80,"Michigan",82,2022-09-12,0.025,2,"A) 2021-2022"
2022-03-05,"MN",25,"Minnesota",31,2022-09-12,0.24,6,"A) 2021-2022"
2022-03-05,"MS",30,"Mississippi",34,2022-09-12,0.133333333333333,4,"A) 2021-2022"
2022-03-05,"MO",82,"Missouri",77,2022-09-12,-0.0609756097560976,-5,"A) 2021-2022"
2022-03-05,"MT",20,"Montana",19,2022-09-12,-0.05,-1,"A) 2021-2022"
2022-03-05,"NE",59,"Nebraska",60,2022-09-12,0.0169491525423729,1,"A) 2021-2022"
2022-03-05,"NV",25,"Nevada",21,2022-09-12,-0.16,-4,"A) 2021-2022"
2022-03-05,"NH",3,"New Hampshire",3,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"NJ",41,"New Jersey",41,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"NM",6,"New Mexico",6,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"NY",55,"New York",56,2022-09-12,0.0181818181818182,1,"A) 2021-2022"
2022-03-05,"NC",51,"North Carolina",54,2022-09-12,0.0588235294117647,3,"A) 2021-2022"
2022-03-05,"ND",2,"North Dakota",2,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"OH",59,"Ohio",50,2022-09-12,-0.152542372881356,-9,"A) 2021-2022"
2022-03-05,"OK",104,"Oklahoma",95,2022-09-12,-0.0865384615384615,-9,"A) 2021-2022"
2022-03-05,"OR",2,"Oregon",2,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"PA",72,"Pennsylvania",77,2022-09-12,0.0694444444444444,5,"A) 2021-2022"
2022-03-05,"PR",9,"Puerto Rico",11,2022-09-12,0.222222222222222,2,"A) 2021-2022"
2022-03-05,"RI",1,"Rhode Island",2,2022-09-12,1,1,"A) 2021-2022"
2022-03-05,"SC",21,"South Carolina",23,2022-09-12,0.0952380952380952,2,"A) 2021-2022"
2022-03-05,"SD",34,"South Dakota",34,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"TN",52,"Tennessee",33,2022-09-12,-0.365384615384615,-19,"A) 2021-2022"
2022-03-05,"TX",345,"Texas",345,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"US",1965,"US",1943,2022-09-12,-0.0111959287531807,-22,"A) 2021-2022"
