"","location_name","wk_end_date","value"
"396","Maryland",2022-12-17,278
"397","Maryland",2022-12-24,227
"398","Maryland",2022-12-31,223
"399","Maryland",2023-01-07,158
"400","Massachusetts",2022-09-03,7
"401","Massachusetts",2022-09-10,4
"402","Massachusetts",2022-09-17,2
"403","Massachusetts",2022-09-24,4
"404","Massachusetts",2022-10-01,4
"405","Massachusetts",2022-10-08,8
"406","Massachusetts",2022-10-15,7
"407","Massachusetts",2022-10-22,8
"408","Massachusetts",2022-10-29,14
"409","Massachusetts",2022-11-05,31
"410","Massachusetts",2022-11-12,43
"411","Massachusetts",2022-11-19,79
"412","Massachusetts",2022-11-26,221
"413","Massachusetts",2022-12-03,446
"414","Massachusetts",2022-12-10,578
"415","Massachusetts",2022-12-17,694
"416","Massachusetts",2022-12-24,769
"417","Massachusetts",2022-12-31,733
"418","Massachusetts",2023-01-07,466
"419","Michigan",2022-09-03,1
"420","Michigan",2022-09-10,10
"421","Michigan",2022-09-17,3
"422","Michigan",2022-09-24,5
"423","Michigan",2022-10-01,4
"424","Michigan",2022-10-08,13
"425","Michigan",2022-10-15,14
"426","Michigan",2022-10-22,17
"427","Michigan",2022-10-29,46
"428","Michigan",2022-11-05,59
"429","Michigan",2022-11-12,90
"430","Michigan",2022-11-19,193
"431","Michigan",2022-11-26,313
"432","Michigan",2022-12-03,485
"433","Michigan",2022-12-10,601
"434","Michigan",2022-12-17,1003
"435","Michigan",2022-12-24,1107
"436","Michigan",2022-12-31,1133
"437","Michigan",2023-01-07,650
"438","Minnesota",2022-09-03,1
"439","Minnesota",2022-09-10,1
"440","Minnesota",2022-09-17,0
"441","Minnesota",2022-09-24,3
"442","Minnesota",2022-10-01,2
"443","Minnesota",2022-10-08,11
"444","Minnesota",2022-10-15,7
"445","Minnesota",2022-10-22,11
"446","Minnesota",2022-10-29,43
"447","Minnesota",2022-11-05,85
"448","Minnesota",2022-11-12,182
"449","Minnesota",2022-11-19,268
"450","Minnesota",2022-11-26,382
"451","Minnesota",2022-12-03,447
"452","Minnesota",2022-12-10,325
"453","Minnesota",2022-12-17,237
"454","Minnesota",2022-12-24,167
"455","Minnesota",2022-12-31,166
"456","Minnesota",2023-01-07,74
"457","Mississippi",2022-09-03,19
"458","Mississippi",2022-09-10,22
"459","Mississippi",2022-09-17,32
"460","Mississippi",2022-09-24,20
"461","Mississippi",2022-10-01,35
"462","Mississippi",2022-10-08,58
"463","Mississippi",2022-10-15,70
"464","Mississippi",2022-10-22,90
"465","Mississippi",2022-10-29,165
"466","Mississippi",2022-11-05,255
"467","Mississippi",2022-11-12,258
"468","Mississippi",2022-11-19,243
"469","Mississippi",2022-11-26,282
"470","Mississippi",2022-12-03,258
"471","Mississippi",2022-12-10,171
"472","Mississippi",2022-12-17,133
"473","Mississippi",2022-12-24,86
"474","Mississippi",2022-12-31,120
"475","Mississippi",2023-01-07,88
"476","Missouri",2022-09-03,10
"477","Missouri",2022-09-10,4
"478","Missouri",2022-09-17,6
"479","Missouri",2022-09-24,7
"480","Missouri",2022-10-01,14
"481","Missouri",2022-10-08,6
"482","Missouri",2022-10-15,12
"483","Missouri",2022-10-22,23
"484","Missouri",2022-10-29,56
"485","Missouri",2022-11-05,71
"486","Missouri",2022-11-12,115
"487","Missouri",2022-11-19,221
"488","Missouri",2022-11-26,548
"489","Missouri",2022-12-03,861
"490","Missouri",2022-12-10,861
"491","Missouri",2022-12-17,717
"492","Missouri",2022-12-24,547
"493","Missouri",2022-12-31,629
"494","Missouri",2023-01-07,372
"495","Montana",2022-09-03,0
"496","Montana",2022-09-10,0
"497","Montana",2022-09-17,1
"498","Montana",2022-09-24,0
"499","Montana",2022-10-01,2
"500","Montana",2022-10-08,0
"501","Montana",2022-10-15,0
"502","Montana",2022-10-22,0
"503","Montana",2022-10-29,5
"504","Montana",2022-11-05,5
"505","Montana",2022-11-12,12
"506","Montana",2022-11-19,12
"507","Montana",2022-11-26,50
"508","Montana",2022-12-03,71
"509","Montana",2022-12-10,104
"510","Montana",2022-12-17,97
"511","Montana",2022-12-24,66
"512","Montana",2022-12-31,86
"513","Montana",2023-01-07,58
"514","National",2022-09-03,603
"515","National",2022-09-10,623
"516","National",2022-09-17,644
"517","National",2022-09-24,742
"518","National",2022-10-01,896
"519","National",2022-10-08,1331
"520","National",2022-10-15,1694
"521","National",2022-10-22,2380
"522","National",2022-10-29,4353
"523","National",2022-11-05,6571
"524","National",2022-11-12,8848
"525","National",2022-11-19,11427
"526","National",2022-11-26,19846
"527","National",2022-12-03,26333
"528","National",2022-12-10,23851
"529","National",2022-12-17,21284
"530","National",2022-12-24,18713
"531","National",2022-12-31,18849
"532","National",2023-01-07,12565
"533","Nebraska",2022-09-03,8
"534","Nebraska",2022-09-10,4
"535","Nebraska",2022-09-17,7
"536","Nebraska",2022-09-24,9
"537","Nebraska",2022-10-01,11
"538","Nebraska",2022-10-08,22
"539","Nebraska",2022-10-15,9
"540","Nebraska",2022-10-22,14
"541","Nebraska",2022-10-29,16
"542","Nebraska",2022-11-05,28
"543","Nebraska",2022-11-12,21
"544","Nebraska",2022-11-19,43
"545","Nebraska",2022-11-26,62
"546","Nebraska",2022-12-03,97
"547","Nebraska",2022-12-10,133
"548","Nebraska",2022-12-17,171
"549","Nebraska",2022-12-24,134
"550","Nebraska",2022-12-31,133
"551","Nebraska",2023-01-07,96
"552","Nevada",2022-09-03,3
"553","Nevada",2022-09-10,6
"554","Nevada",2022-09-17,8
"555","Nevada",2022-09-24,9
"556","Nevada",2022-10-01,14
"557","Nevada",2022-10-08,37
"558","Nevada",2022-10-15,8
"559","Nevada",2022-10-22,14
"560","Nevada",2022-10-29,12
"561","Nevada",2022-11-05,31
"562","Nevada",2022-11-12,80
"563","Nevada",2022-11-19,157
"564","Nevada",2022-11-26,252
"565","Nevada",2022-12-03,397
"566","Nevada",2022-12-10,366
"567","Nevada",2022-12-17,234
"568","Nevada",2022-12-24,233
"569","Nevada",2022-12-31,169
"570","Nevada",2023-01-07,106
"571","New Hampshire",2022-09-03,0
"572","New Hampshire",2022-09-10,0
