"model","target_end_date","target","coverage95"
"CMU-TimeSeries",2023-10-21,"1 wk inc flu hosp","0.961538461538462"
"CMU-TimeSeries",2023-10-28,"0 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2023-10-28,"1 wk inc flu hosp","0.978723404255319"
"CMU-TimeSeries",2023-10-28,"2 wk inc flu hosp","0.923076923076923"
"CMU-TimeSeries",2023-11-04,"0 wk inc flu hosp","0.957446808510638"
"CMU-TimeSeries",2023-11-04,"1 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2023-11-04,"2 wk inc flu hosp","0.957446808510638"
"CMU-TimeSeries",2023-11-04,"3 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2023-11-11,"0 wk inc flu hosp","0.901960784313726"
"CMU-TimeSeries",2023-11-11,"1 wk inc flu hosp","0.978723404255319"
"CMU-TimeSeries",2023-11-11,"2 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2023-11-11,"3 wk inc flu hosp","0.957446808510638"
"CMU-TimeSeries",2023-11-18,"0 wk inc flu hosp","0.91304347826087"
"CMU-TimeSeries",2023-11-18,"1 wk inc flu hosp","0.92156862745098"
"CMU-TimeSeries",2023-11-18,"2 wk inc flu hosp","0.936170212765957"
"CMU-TimeSeries",2023-11-18,"3 wk inc flu hosp","0.961538461538462"
"CMU-TimeSeries",2023-11-25,"0 wk inc flu hosp","0.934782608695652"
"CMU-TimeSeries",2023-11-25,"1 wk inc flu hosp","0.91304347826087"
"CMU-TimeSeries",2023-11-25,"2 wk inc flu hosp","0.901960784313726"
"CMU-TimeSeries",2023-11-25,"3 wk inc flu hosp","0.957446808510638"
"CMU-TimeSeries",2023-12-02,"0 wk inc flu hosp","0.936170212765957"
"CMU-TimeSeries",2023-12-02,"1 wk inc flu hosp","0.826086956521739"
"CMU-TimeSeries",2023-12-02,"2 wk inc flu hosp","0.826086956521739"
"CMU-TimeSeries",2023-12-02,"3 wk inc flu hosp","0.764705882352941"
"CMU-TimeSeries",2023-12-09,"0 wk inc flu hosp","0.941176470588235"
"CMU-TimeSeries",2023-12-09,"1 wk inc flu hosp","0.872340425531915"
"CMU-TimeSeries",2023-12-09,"2 wk inc flu hosp","0.760869565217391"
"CMU-TimeSeries",2023-12-09,"3 wk inc flu hosp","0.739130434782609"
"CMU-TimeSeries",2023-12-16,"0 wk inc flu hosp","0.953488372093023"
"CMU-TimeSeries",2023-12-16,"1 wk inc flu hosp","0.901960784313726"
"CMU-TimeSeries",2023-12-16,"2 wk inc flu hosp","0.74468085106383"
"CMU-TimeSeries",2023-12-16,"3 wk inc flu hosp","0.58695652173913"
"CMU-TimeSeries",2023-12-23,"0 wk inc flu hosp","0.833333333333333"
"CMU-TimeSeries",2023-12-23,"1 wk inc flu hosp","0.651162790697674"
"CMU-TimeSeries",2023-12-23,"2 wk inc flu hosp","0.686274509803922"
"CMU-TimeSeries",2023-12-23,"3 wk inc flu hosp","0.48936170212766"
"CMU-TimeSeries",2023-12-30,"0 wk inc flu hosp","0.857142857142857"
"CMU-TimeSeries",2023-12-30,"1 wk inc flu hosp","0.69047619047619"
"CMU-TimeSeries",2023-12-30,"2 wk inc flu hosp","0.534883720930233"
"CMU-TimeSeries",2023-12-30,"3 wk inc flu hosp","0.333333333333333"
"CMU-TimeSeries",2024-01-06,"0 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-06,"1 wk inc flu hosp","0.959183673469388"
"CMU-TimeSeries",2024-01-06,"2 wk inc flu hosp","0.880952380952381"
"CMU-TimeSeries",2024-01-06,"3 wk inc flu hosp","0.651162790697674"
"CMU-TimeSeries",2024-01-13,"0 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-13,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-13,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-13,"3 wk inc flu hosp","0.928571428571429"
"CMU-TimeSeries",2024-01-20,"0 wk inc flu hosp","0.978260869565217"
"CMU-TimeSeries",2024-01-20,"1 wk inc flu hosp","0.975"
"CMU-TimeSeries",2024-01-20,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-20,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-27,"0 wk inc flu hosp","0.98"
"CMU-TimeSeries",2024-01-27,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-27,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-01-27,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-03,"0 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2024-02-03,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-03,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-03,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-10,"0 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-02-10,"1 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-02-10,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-10,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-17,"0 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-02-17,"1 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-02-17,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-17,"3 wk inc flu hosp","0.98"
"CMU-TimeSeries",2024-02-24,"0 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-24,"1 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-02-24,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-02-24,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-02,"0 wk inc flu hosp","0.9375"
"CMU-TimeSeries",2024-03-02,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-02,"2 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-03-02,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-09,"0 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2024-03-09,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-09,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-09,"3 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-03-16,"0 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-03-16,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-16,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-16,"3 wk inc flu hosp","0.980392156862745"
"CMU-TimeSeries",2024-03-23,"0 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-03-23,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-23,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-23,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-30,"0 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-03-30,"1 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-03-30,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-03-30,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-06,"0 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-04-06,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-06,"2 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-04-06,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-13,"0 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-13,"1 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-04-13,"2 wk inc flu hosp","0.980769230769231"
"CMU-TimeSeries",2024-04-13,"3 wk inc flu hosp","No data"
"CMU-TimeSeries",2024-04-20,"0 wk inc flu hosp","0.98"
"CMU-TimeSeries",2024-04-20,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-20,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-20,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-27,"0 wk inc flu hosp","0.938775510204082"
"CMU-TimeSeries",2024-04-27,"1 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-27,"2 wk inc flu hosp","1"
"CMU-TimeSeries",2024-04-27,"3 wk inc flu hosp","1"
"CU-ensemble",2023-10-14,"0 wk inc flu hosp","0.634615384615385"
"CU-ensemble",2023-10-21,"0 wk inc flu hosp","0.75"
"CU-ensemble",2023-10-21,"1 wk inc flu hosp","0.615384615384615"
"CU-ensemble",2023-10-28,"0 wk inc flu hosp","0.75"
"CU-ensemble",2023-10-28,"1 wk inc flu hosp","0.711538461538462"
"CU-ensemble",2023-10-28,"2 wk inc flu hosp","0.673076923076923"
"CU-ensemble",2023-11-04,"0 wk inc flu hosp","0.788461538461538"
"CU-ensemble",2023-11-04,"1 wk inc flu hosp","0.826923076923077"
"CU-ensemble",2023-11-04,"2 wk inc flu hosp","0.711538461538462"
"CU-ensemble",2023-11-04,"3 wk inc flu hosp","0.634615384615385"
"CU-ensemble",2023-11-11,"0 wk inc flu hosp","0.673076923076923"
"CU-ensemble",2023-11-11,"1 wk inc flu hosp","0.75"
"CU-ensemble",2023-11-11,"2 wk inc flu hosp","0.692307692307692"
"CU-ensemble",2023-11-11,"3 wk inc flu hosp","0.75"
"CU-ensemble",2023-11-18,"0 wk inc flu hosp","0.826923076923077"
"CU-ensemble",2023-11-18,"1 wk inc flu hosp","0.403846153846154"
"CU-ensemble",2023-11-18,"2 wk inc flu hosp","0.75"
"CU-ensemble",2023-11-18,"3 wk inc flu hosp","0.692307692307692"
"CU-ensemble",2023-11-25,"0 wk inc flu hosp","0.903846153846154"
"CU-ensemble",2023-11-25,"1 wk inc flu hosp","0.807692307692308"
"CU-ensemble",2023-11-25,"2 wk inc flu hosp","0.519230769230769"
"CU-ensemble",2023-11-25,"3 wk inc flu hosp","0.615384615384615"
"CU-ensemble",2023-12-02,"0 wk inc flu hosp","0.884615384615385"
"CU-ensemble",2023-12-02,"1 wk inc flu hosp","0.923076923076923"
"CU-ensemble",2023-12-02,"2 wk inc flu hosp","0.769230769230769"
"CU-ensemble",2023-12-02,"3 wk inc flu hosp","0.480769230769231"
"CU-ensemble",2023-12-09,"0 wk inc flu hosp","0.901960784313726"
"CU-ensemble",2023-12-09,"1 wk inc flu hosp","0.865384615384615"
"CU-ensemble",2023-12-09,"2 wk inc flu hosp","0.865384615384615"
"CU-ensemble",2023-12-09,"3 wk inc flu hosp","0.692307692307692"
"CU-ensemble",2023-12-16,"0 wk inc flu hosp","0.846153846153846"
"CU-ensemble",2023-12-16,"1 wk inc flu hosp","0.843137254901961"
"CU-ensemble",2023-12-16,"2 wk inc flu hosp","0.807692307692308"
"CU-ensemble",2023-12-16,"3 wk inc flu hosp","0.75"
"CU-ensemble",2023-12-23,"0 wk inc flu hosp","0.788461538461538"
"CU-ensemble",2023-12-23,"1 wk inc flu hosp","0.576923076923077"
"CU-ensemble",2023-12-23,"2 wk inc flu hosp","0.647058823529412"
"CU-ensemble",2023-12-23,"3 wk inc flu hosp","0.596153846153846"
"CU-ensemble",2023-12-30,"0 wk inc flu hosp","0.769230769230769"
"CU-ensemble",2023-12-30,"1 wk inc flu hosp","0.576923076923077"
"CU-ensemble",2023-12-30,"2 wk inc flu hosp","0.365384615384615"
"CU-ensemble",2023-12-30,"3 wk inc flu hosp","0.411764705882353"
"CU-ensemble",2024-01-06,"0 wk inc flu hosp","0.615384615384615"
"CU-ensemble",2024-01-06,"1 wk inc flu hosp","0.826923076923077"
"CU-ensemble",2024-01-06,"2 wk inc flu hosp","0.788461538461538"
"CU-ensemble",2024-01-06,"3 wk inc flu hosp","0.5"
"CU-ensemble",2024-01-13,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-01-13,"1 wk inc flu hosp","0.326923076923077"
"CU-ensemble",2024-01-13,"2 wk inc flu hosp","0.692307692307692"
"CU-ensemble",2024-01-13,"3 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-01-20,"0 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-01-20,"1 wk inc flu hosp","0.75"
"CU-ensemble",2024-01-20,"2 wk inc flu hosp","0.25"
"CU-ensemble",2024-01-20,"3 wk inc flu hosp","0.538461538461538"
"CU-ensemble",2024-01-27,"0 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-01-27,"1 wk inc flu hosp","1"
"CU-ensemble",2024-01-27,"2 wk inc flu hosp","0.730769230769231"
"CU-ensemble",2024-01-27,"3 wk inc flu hosp","0.269230769230769"
"CU-ensemble",2024-02-03,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-03,"1 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-02-03,"2 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-03,"3 wk inc flu hosp","0.692307692307692"
"CU-ensemble",2024-02-10,"0 wk inc flu hosp","1"
"CU-ensemble",2024-02-10,"1 wk inc flu hosp","0.923076923076923"
"CU-ensemble",2024-02-10,"2 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-10,"3 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-17,"0 wk inc flu hosp","1"
"CU-ensemble",2024-02-17,"1 wk inc flu hosp","1"
"CU-ensemble",2024-02-17,"2 wk inc flu hosp","0.903846153846154"
"CU-ensemble",2024-02-17,"3 wk inc flu hosp","0.903846153846154"
"CU-ensemble",2024-02-24,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-24,"1 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-02-24,"2 wk inc flu hosp","0.865384615384615"
"CU-ensemble",2024-02-24,"3 wk inc flu hosp","0.903846153846154"
"CU-ensemble",2024-03-02,"0 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-03-02,"1 wk inc flu hosp","0.903846153846154"
"CU-ensemble",2024-03-02,"2 wk inc flu hosp","0.923076923076923"
"CU-ensemble",2024-03-02,"3 wk inc flu hosp","0.865384615384615"
"CU-ensemble",2024-03-09,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-03-09,"1 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-03-09,"2 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-03-09,"3 wk inc flu hosp","0.942307692307692"
"CU-ensemble",2024-03-16,"0 wk inc flu hosp","1"
"CU-ensemble",2024-03-16,"1 wk inc flu hosp","1"
"CU-ensemble",2024-03-16,"2 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-03-16,"3 wk inc flu hosp","1"
"CU-ensemble",2024-03-23,"0 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-03-23,"1 wk inc flu hosp","1"
"CU-ensemble",2024-03-23,"2 wk inc flu hosp","1"
"CU-ensemble",2024-03-23,"3 wk inc flu hosp","1"
"CU-ensemble",2024-03-30,"0 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-03-30,"1 wk inc flu hosp","1"
"CU-ensemble",2024-03-30,"2 wk inc flu hosp","1"
"CU-ensemble",2024-03-30,"3 wk inc flu hosp","1"
"CU-ensemble",2024-04-06,"0 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-04-06,"1 wk inc flu hosp","1"
"CU-ensemble",2024-04-06,"2 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-04-06,"3 wk inc flu hosp","1"
"CU-ensemble",2024-04-13,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-04-13,"1 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-04-13,"2 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-04-13,"3 wk inc flu hosp","1"
"CU-ensemble",2024-04-20,"0 wk inc flu hosp","0.980769230769231"
"CU-ensemble",2024-04-20,"1 wk inc flu hosp","1"
"CU-ensemble",2024-04-20,"2 wk inc flu hosp","1"
"CU-ensemble",2024-04-20,"3 wk inc flu hosp","1"
"CU-ensemble",2024-04-27,"0 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-04-27,"1 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-04-27,"2 wk inc flu hosp","0.961538461538462"
"CU-ensemble",2024-04-27,"3 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-10-14,"0 wk inc flu hosp","1"
"FluSight-baseline",2023-10-21,"0 wk inc flu hosp","1"
"FluSight-baseline",2023-10-21,"1 wk inc flu hosp","1"
"FluSight-baseline",2023-10-28,"0 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-10-28,"1 wk inc flu hosp","1"
"FluSight-baseline",2023-10-28,"2 wk inc flu hosp","1"
"FluSight-baseline",2023-11-04,"0 wk inc flu hosp","1"
"FluSight-baseline",2023-11-04,"1 wk inc flu hosp","1"
"FluSight-baseline",2023-11-04,"2 wk inc flu hosp","1"
"FluSight-baseline",2023-11-04,"3 wk inc flu hosp","1"
"FluSight-baseline",2023-11-11,"0 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-11-11,"1 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-11-11,"2 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-11-11,"3 wk inc flu hosp","1"
"FluSight-baseline",2023-11-18,"0 wk inc flu hosp","0.942307692307692"
"FluSight-baseline",2023-11-18,"1 wk inc flu hosp","0.961538461538462"
"FluSight-baseline",2023-11-18,"2 wk inc flu hosp","0.942307692307692"
"FluSight-baseline",2023-11-18,"3 wk inc flu hosp","0.961538461538462"
"FluSight-baseline",2023-11-25,"0 wk inc flu hosp","0.980769230769231"
"FluSight-baseline",2023-11-25,"1 wk inc flu hosp","0.961538461538462"
"FluSight-baseline",2023-11-25,"2 wk inc flu hosp","0.961538461538462"
"FluSight-baseline",2023-11-25,"3 wk inc flu hosp","0.961538461538462"
"FluSight-baseline",2023-12-02,"0 wk inc flu hosp","0.942307692307692"
