"model","location_name","wis","rel_wis","mae","below","Percent.Cov.50","Percent.Cov.95"
"GH-Flusight","North Carolina",14.26,1.13,15.94,0,0.0588235294117647,0.25
"GH-Flusight","North Dakota",1.75,0.93,2.12,1,0.323529411764706,0.588235294117647
"GH-Flusight","Ohio",46.88,2.64,48.25,0,0.0294117647058824,0.0882352941176471
"GH-Flusight","Oklahoma",52.34,2.59,53.97,0,0.0147058823529412,0.0294117647058824
"GH-Flusight","Oregon",14.75,2.55,15.22,0,0.0441176470588235,0.0588235294117647
"GH-Flusight","Pennsylvania",57.18,1.82,58.82,0,0.0294117647058824,0.0294117647058824
"GH-Flusight","Puerto Rico",19.88,1.11,21.01,0,0.0882352941176471,0.176470588235294
"GH-Flusight","Rhode Island",3.56,1.59,3.82,0,0.0882352941176471,0.161764705882353
"GH-Flusight","South Carolina",8.71,1.62,9.63,0,0.117647058823529,0.191176470588235
"GH-Flusight","South Dakota",3.21,1.16,3.69,0,0.264705882352941,0.455882352941176
"GH-Flusight","Tennessee",7.8,0.98,8.78,1,0.117647058823529,0.220588235294118
"GH-Flusight","Texas",141.66,1.6,144.35,0,0.0441176470588235,0.0882352941176471
"GH-Flusight","Utah",7.35,2.19,7.71,0,0.0441176470588235,0.117647058823529
"GH-Flusight","Vermont",3.45,1.33,3.56,0,0.220588235294118,0.294117647058824
"GH-Flusight","Virginia",10.08,1.42,11.43,0,0.0882352941176471,0.161764705882353
"GH-Flusight","Washington",18.53,1.7,19.12,0,0.0294117647058824,0.0441176470588235
"GH-Flusight","West Virginia",15.28,1.7,16.04,0,0.0294117647058824,0.0588235294117647
"GH-Flusight","Wisconsin",18.15,1.71,19.09,0,0,0.0588235294117647
"GH-Flusight","Wyoming",2.67,1.3,3.15,0,0.117647058823529,0.308823529411765
"GT-FluFNP","Alabama",3.91,0.69,6.07,1,0.541666666666667,0.902777777777778
"GT-FluFNP","Alaska",2.12,0.86,2.9,1,0.666666666666667,0.902777777777778
"GT-FluFNP","Arizona",35.35,0.99,51.81,1,0.138888888888889,0.555555555555556
"GT-FluFNP","Arkansas",12.12,0.91,17,1,0.347222222222222,0.736111111111111
"GT-FluFNP","California",66.41,1.01,83.85,0,0.125,0.430555555555556
"GT-FluFNP","Colorado",51.57,1.38,63.56,0,0.180555555555556,0.402777777777778
"GT-FluFNP","Connecticut",15.64,1.15,19.97,0,0.25,0.388888888888889
"GT-FluFNP","Delaware",5.99,1.1,7.51,0,0.430555555555556,0.708333333333333
"GT-FluFNP","District of Columbia",1.22,1.16,1.81,0,0.472222222222222,0.694444444444444
