"model","target_end_date","target","season","coverage95","model_color"
"Flusight-ensemble",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#6baed6"
"Flusight-ensemble",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.153846153846154,"#6baed6"
"Flusight-ensemble",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.673076923076923,"#6baed6"
"Flusight-ensemble",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.288461538461538,"#6baed6"
"Flusight-ensemble",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#6baed6"
"Flusight-ensemble",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0.634615384615385,"#6baed6"
"Flusight-ensemble",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#6baed6"
"Flusight-ensemble",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.653846153846154,"#6baed6"
"Flusight-ensemble",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#6baed6"
"Flusight-ensemble",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",0.730769230769231,"#6baed6"
"Flusight-ensemble",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",0.923076923076923,"#6baed6"
"Flusight-ensemble",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",0.711538461538462,"#6baed6"
"Flusight-ensemble",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#6baed6"
"Flusight-ensemble",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#6baed6"
"Flusight-ensemble",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",0.615384615384615,"#6baed6"
"Flusight-ensemble",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
