"model","location_name","relative_WIS","season"
"GH-Flusight","New Jersey",1.20581010181851,"2021-2022"
"GH-Flusight","New Mexico",2.11304996997886,"2021-2022"
"GH-Flusight","New York",1.62317210705388,"2021-2022"
"GH-Flusight","North Carolina",1.13720588325255,"2021-2022"
"GH-Flusight","North Dakota",0.931479449627565,"2021-2022"
"GH-Flusight","Ohio",2.77188499272123,"2021-2022"
"GH-Flusight","Oklahoma",2.67888714740211,"2021-2022"
"GH-Flusight","Oregon",2.57421821398809,"2021-2022"
"GH-Flusight","Pennsylvania",1.75888693991085,"2021-2022"
"GH-Flusight","Puerto Rico",1.11883640952968,"2021-2022"
"GH-Flusight","Rhode Island",1.58135454140202,"2021-2022"
"GH-Flusight","South Carolina",1.60787389492818,"2021-2022"
"GH-Flusight","South Dakota",1.02987036421872,"2021-2022"
"GH-Flusight","Tennessee",0.957457299870994,"2021-2022"
"GH-Flusight","Texas",1.61898950692339,"2021-2022"
"GH-Flusight","Utah",2.30449051645453,"2021-2022"
"GH-Flusight","Vermont",1.34218670700276,"2021-2022"
"GH-Flusight","Virginia",1.40753200593749,"2021-2022"
"GH-Flusight","Washington",1.70112090517494,"2021-2022"
"GH-Flusight","West Virginia",1.70843895403506,"2021-2022"
"GH-Flusight","Wisconsin",1.74220640578134,"2021-2022"
"GH-Flusight","Wyoming",1.30804681853594,"2021-2022"
"GT-FluFNP","Alabama",0.687953546620287,"2021-2022"
"GT-FluFNP","Alaska",0.827075428673522,"2021-2022"
"GT-FluFNP","Arizona",0.957988880420173,"2021-2022"
"GT-FluFNP","Arkansas",0.905571195264777,"2021-2022"
"GT-FluFNP","California",1.00877033436693,"2021-2022"
"GT-FluFNP","Colorado",1.39412073413694,"2021-2022"
"GT-FluFNP","Connecticut",1.1382428878091,"2021-2022"
"GT-FluFNP","Delaware",1.10305172388858,"2021-2022"
"GT-FluFNP","District of Columbia",1.15483635159137,"2021-2022"
"GT-FluFNP","Florida",0.926682170942792,"2021-2022"
"GT-FluFNP","Georgia",0.708129580876458,"2021-2022"
"GT-FluFNP","Idaho",1.2465079170919,"2021-2022"
"GT-FluFNP","Illinois",1.27445785295469,"2021-2022"
"GT-FluFNP","Indiana",0.96936383215224,"2021-2022"
"GT-FluFNP","Iowa",0.873638748585334,"2021-2022"
"GT-FluFNP","Kansas",1.07079905898147,"2021-2022"
"GT-FluFNP","Kentucky",0.914770057043463,"2021-2022"
"GT-FluFNP","Louisiana",1.07549996792776,"2021-2022"
"GT-FluFNP","Maine",0.946100027450276,"2021-2022"
"GT-FluFNP","Maryland",1.11137955320398,"2021-2022"
"GT-FluFNP","Massachusetts",0.954080630845833,"2021-2022"
"GT-FluFNP","Michigan",1.28949952446437,"2021-2022"
"GT-FluFNP","Minnesota",1.15605936957167,"2021-2022"
"GT-FluFNP","Mississippi",0.721875767534883,"2021-2022"
"GT-FluFNP","Missouri",0.873173995139596,"2021-2022"
"GT-FluFNP","Montana",1.06694047208014,"2021-2022"
"GT-FluFNP","Nebraska",1.01922491100827,"2021-2022"
"GT-FluFNP","Nevada",0.906638260896077,"2021-2022"
"GT-FluFNP","New Hampshire",1.02873717952588,"2021-2022"
"GT-FluFNP","New Jersey",0.89796012499296,"2021-2022"
"GT-FluFNP","New Mexico",1.03045576375102,"2021-2022"
"GT-FluFNP","New York",0.94597193712817,"2021-2022"
"GT-FluFNP","North Carolina",0.786251467101442,"2021-2022"
"GT-FluFNP","North Dakota",0.839086941754728,"2021-2022"
"GT-FluFNP","Ohio",1.0873418163552,"2021-2022"
"GT-FluFNP","Oklahoma",1.21951515043369,"2021-2022"
"GT-FluFNP","Oregon",1.19530351793169,"2021-2022"
"GT-FluFNP","Pennsylvania",0.983486814241989,"2021-2022"
"GT-FluFNP","Rhode Island",0.847551002117386,"2021-2022"
"GT-FluFNP","South Carolina",0.84074056975046,"2021-2022"
"GT-FluFNP","South Dakota",1.0856046848067,"2021-2022"
"GT-FluFNP","Tennessee",0.869337446845244,"2021-2022"
"GT-FluFNP","Texas",1.07586886639287,"2021-2022"
"GT-FluFNP","Utah",1.12122645396856,"2021-2022"
"GT-FluFNP","Vermont",0.868376324500986,"2021-2022"
"GT-FluFNP","Virginia",0.990800107629597,"2021-2022"
"GT-FluFNP","Washington",1.20522727412818,"2021-2022"
"GT-FluFNP","West Virginia",0.826503566304557,"2021-2022"
"GT-FluFNP","Wisconsin",0.868100572327519,"2021-2022"
"GT-FluFNP","Wyoming",0.735214941693567,"2021-2022"
"IEM_Health-FluProject","Alabama",0.866431649873172,"2021-2022"
"IEM_Health-FluProject","Alaska",1.08917631681641,"2021-2022"
"IEM_Health-FluProject","Arizona",1.20956961944123,"2021-2022"
"IEM_Health-FluProject","Arkansas",0.922929016773588,"2021-2022"
"IEM_Health-FluProject","California",1.01164779650623,"2021-2022"
"IEM_Health-FluProject","Colorado",0.97841858734057,"2021-2022"
"IEM_Health-FluProject","Connecticut",1.11072083125799,"2021-2022"
"IEM_Health-FluProject","Delaware",1.00715343392641,"2021-2022"
